"Meta Ad Library 분석 — ""라네즈""",,,,,,,,,,,
총 150건 | 생성: 2026-03-03 07:13 | Goldnex SM본부,,,,,,,,,,,
22,라네즈 LANEIGE,리뷰/UGC,정보형 (Edu),"솔직 언박싱 🎁 신상 세럼 개봉기! 발림성, 흡수력, 향까지 꼼꼼 리뷰 | 베스트셀러 | 피부 타입별 맞춤 추천",소재보기 →,"facebook, instagram",여성 / 18-44세,2026-01-20,2026-02-26,37,"7,928,310원"
23,라네즈 LANEIGE,참여형 (Engagement),프로모션,친구 태그하면 둘 다 선물! 인생 선크림 나눔 이벤트 ☀️ 스토리 공유 필수 | 자세히 보기 | 공식몰 단독 혜택,소재보기 →,"facebook, instagram, messenger",남성 / 25-54세,2026-02-03,집행중,0,"6,046,976원"
24,라네즈 LANEIGE,프로모션,리뷰/UGC,오늘 하루만! 전품목 무료배송 + 사은품 랜덤박스 증정 이벤트 | 자세히 보기 | 피부 타입별 맞춤 추천,소재보기 →,instagram,여성 / 18-44세,2025-12-31,2026-02-15,46,"4,893,480원"
25,라네즈 LANEIGE,정보형 (Edu),프로모션,아침저녁 스킨케어 루틴 3스텝 완벽 가이드! 순서가 중요합니다 | 올리브영 바로가기 | 공식몰 단독 혜택,소재보기 →,instagram,여성 / 25-54세,2025-04-27,2026-02-14,293,"35,937,036원"
26,라네즈 LANEIGE,USP (제품특장점),리뷰/UGC,"병풀 CICA 성분 저자극 포뮬러. 예민한 피부도 순하게 진정, 피부 장벽 강화 | 지금 바로 확인 | 피부 타입별 맞춤 추천",소재보기 →,"facebook, instagram, messenger",남성 / 25-54세,2026-01-30,집행중,0,"16,053원"
27,라네즈 LANEIGE,정보형 (Edu),USP (제품특장점),아침저녁 스킨케어 루틴 3스텝 완벽 가이드! 순서가 중요합니다 | 올리브영 바로가기 | 지금 확인하세요,소재보기 →,"facebook, instagram, audience_network",전체 / 18-65세,2026-01-07,집행중,0,"2,886,509원"
28,라네즈 LANEIGE,USP (제품특장점),프로모션,"SPF50+ PA++++ 자외선 차단은 기본, 톤업까지 한번에! 식약처 인증 기능성 | 신제품 출시 | 무료 샘플 증정",소재보기 →,"facebook, instagram, messenger",여성 / 18-65세,2025-07-21,집행중,0,"37,071,733원"
29,라네즈 LANEIGE,소셜증거 (Social Proof),리뷰/UGC,뷰티 인플루언서 100명이 추천한 클렌징 오일. SNS 품절 대란 재입고! | 올리브영 바로가기 | 지금 확인하세요,소재보기 →,"facebook, instagram, messenger",남성 / 25-44세,2026-01-31,2026-02-20,20,"2,640,346원"
30,라네즈 LANEIGE,소셜증거 (Social Proof),리뷰/UGC,뷰티 인플루언서 100명이 추천한 클렌징 오일. SNS 품절 대란 재입고! | 올리브영 바로가기 | 새로운 발견,소재보기 →,facebook,여성 / 18-34세,2026-02-12,집행중,0,"1,858,257원"
31,라네즈 LANEIGE,소셜증거 (Social Proof),프로모션,후기 10만개가 증명하는 보습력. 건성피부 구원템 입소문 대란 | 자세히 보기 | 공식몰 단독 혜택,소재보기 →,facebook,남성 / 25-44세,2025-08-13,집행중,0,"20,636,709원"
32,라네즈 LANEIGE,정보형 (Edu),USP (제품특장점),선크림 SPF 숫자의 비밀 ☀️ SPF30 vs 50 차이점 알려드립니다 | 자세히 보기 | 지금 확인하세요,소재보기 →,"facebook, instagram, messenger",여성 / 18-65세,2025-12-11,집행중,0,"12,409,114원"
33,라네즈 LANEIGE,프로모션,USP (제품특장점),나를 위한 작은 사치. 매일 밤 셀프케어 루틴에 더하는 프리미엄 나이트 세럼 🌙 | 지금 바로 확인 | 무료 샘플 증정,소재보기 →,instagram,전체 / 18-44세,2026-01-08,집행중,0,"9,392,793원"
34,라네즈 LANEIGE,프로모션,참여형 (Engagement),🎯 퀴즈 이벤트! 이 성분의 이름은? 맞추면 본품 증정 👉 댓글로 참여하세요 | 한정 특가 | 무료 샘플 증정,소재보기 →,facebook,여성 / 18-34세,2026-01-01,2026-02-05,35,"1,444,380원"
35,라네즈 LANEIGE,리뷰/UGC,브랜딩,인생템 찾았다ㅠㅠ 민감성인 저도 자극 없이 쓸 수 있는 세럼 강추합니다!! | 신제품 출시 | 지금 확인하세요,소재보기 →,facebook,전체 / 18-65세,2026-01-30,집행중,0,"1,119,972원"
36,라네즈 LANEIGE,프로모션,브랜딩,첫 구매 30% 할인 + 미니어처 3종 증정. 쿠폰코드: BEAUTY2026 | 한정 특가 | 새로운 발견,소재보기 →,"facebook, instagram",여성 / 18-65세,2026-02-12,집행중,0,"1,589,360원"
37,라네즈 LANEIGE,소셜증거 (Social Proof),리뷰/UGC,뷰티 인플루언서 100명이 추천한 클렌징 오일. SNS 품절 대란 재입고! | 지금 바로 확인 | 지금 확인하세요,소재보기 →,"facebook, instagram",여성 / 25-44세,2025-11-27,2026-02-22,87,"8,772,500원"
38,라네즈 LANEIGE,브랜딩,-,NEW 컬렉션 런칭 🌸 봄을 담은 새로운 시그니처 라인을 만나보세요 | 자세히 보기 | 새로운 발견,소재보기 →,"facebook, instagram",여성 / 18-34세,2025-08-19,집행중,0,"11,961,686원"
39,라네즈 LANEIGE,브랜딩,프로모션,NEW 컬렉션 런칭 🌸 봄을 담은 새로운 시그니처 라인을 만나보세요 | 지금 바로 확인 | 공식몰 단독 혜택,소재보기 →,"facebook, instagram",여성 / 25-54세,2026-01-27,2026-02-22,26,"1,311,509원"
40,라네즈 LANEIGE,리뷰/UGC,정보형 (Edu),"솔직 언박싱 🎁 신상 세럼 개봉기! 발림성, 흡수력, 향까지 꼼꼼 리뷰 | 지금 바로 확인 | 피부 타입별 맞춤 추천",소재보기 →,facebook,전체 / 18-34세,2026-02-03,2026-02-25,22,"3,992,296원"
41,라네즈 LANEIGE,프로모션,USP (제품특장점),"아침이 기다려지는 스킨케어. 맑고 촉촉한 하루의 시작, 데일리 모닝 에센스 | 한정 특가 | 공식몰 단독 혜택",소재보기 →,"facebook, instagram, messenger",남성 / 18-44세,2025-11-17,2026-02-14,89,"13,937,993원"
42,라네즈 LANEIGE,소셜증거 (Social Proof),정보형 (Edu),2026 화해 어워드 수상 🎖️ 올리브영 스킨케어 랭킹 TOP3 올킬 | 베스트셀러 | 새로운 발견,소재보기 →,facebook,전체 / 25-54세,2026-02-17,2026-02-23,6,"1,503,088원"
43,라네즈 LANEIGE,프로모션,리뷰/UGC,"파운데이션 + 쿠션 세트 특가 29,900원 (정가 58,000원) 👉 52% 할인 중 | 신제품 출시 | 피부 타입별 맞춤 추천",소재보기 →,"facebook, instagram, audience_network",여성 / 18-65세,2026-01-19,집행중,0,"2,229,210원"
44,라네즈 LANEIGE,정보형 (Edu),프로모션,선크림 SPF 숫자의 비밀 ☀️ SPF30 vs 50 차이점 알려드립니다 | 지금 바로 확인 | 무료 샘플 증정,소재보기 →,instagram,여성 / 18-44세,2026-01-14,2026-02-13,30,"6,816,320원"
45,라네즈 LANEIGE,프로모션,참여형 (Engagement),친구 태그하면 둘 다 선물! 인생 선크림 나눔 이벤트 ☀️ 스토리 공유 필수 | 한정 특가 | 공식몰 단독 혜택,소재보기 →,"facebook, instagram, messenger",남성 / 18-44세,2026-01-28,2026-02-01,4,"105,525원"
46,라네즈 LANEIGE,브랜딩,프로모션,글로벌 앰버서더 한소희와 함께하는 프레스티지 스킨케어 캠페인 | 한정 특가 | 지금 확인하세요,소재보기 →,facebook,여성 / 25-54세,2025-10-02,집행중,0,"27,402,048원"
47,라네즈 LANEIGE,리뷰/UGC,정보형 (Edu),전후 비교 보세요! 2주만에 모공이 줄어든 게 보이죠? 실제 사용 후기입니다 | 올리브영 바로가기 | 지금 확인하세요,소재보기 →,instagram,여성 / 25-54세,2026-02-14,집행중,0,"268,552원"
48,라네즈 LANEIGE,브랜딩,프로모션,NEW 컬렉션 런칭 🌸 봄을 담은 새로운 시그니처 라인을 만나보세요 | 자세히 보기 | 무료 샘플 증정,소재보기 →,"facebook, instagram, messenger",여성 / 18-44세,2026-02-12,집행중,0,"1,395,888원"
49,라네즈 LANEIGE,프로모션,브랜딩,"파운데이션 + 쿠션 세트 특가 29,900원 (정가 58,000원) 👉 52% 할인 중 | 신제품 출시 | 공식몰 단독 혜택",소재보기 →,"facebook, instagram",여성 / 25-44세,2025-12-20,집행중,0,"842,226원"
50,라네즈 LANEIGE,참여형 (Engagement),프로모션,챌린지 참여하고 경품 받자! #나의루틴챌린지 해시태그로 릴스 올리기 | 올리브영 바로가기 | 무료 샘플 증정,소재보기 →,"facebook, instagram",전체 / 25-44세,2025-08-31,집행중,0,"38,362,016원"
51,라네즈 LANEIGE,USP (제품특장점),리뷰/UGC,히알루론산 5중 보습으로 촉촉한 피부 완성 ✨ 건조한 겨울에도 끈적임 없이 수분 가득 | 자세히 보기 | 피부 타입별 맞춤 추천,소재보기 →,"facebook, instagram, audience_network",남성 / 18-65세,2026-02-07,집행중,0,"1,610,080원"
52,라네즈 LANEIGE,소셜증거 (Social Proof),프로모션,후기 10만개가 증명하는 보습력. 건성피부 구원템 입소문 대란 | 신제품 출시 | 지금 확인하세요,소재보기 →,"facebook, instagram, messenger",여성 / 18-34세,2026-02-10,2026-03-01,19,"2,762,853원"
53,라네즈 LANEIGE,리뷰/UGC,정보형 (Edu),전후 비교 보세요! 2주만에 모공이 줄어든 게 보이죠? 실제 사용 후기입니다 | 지금 바로 확인 | 지금 확인하세요,소재보기 →,"facebook, instagram, messenger",여성 / 18-34세,2025-11-23,집행중,0,"4,318,860원"
54,라네즈 LANEIGE,USP (제품특장점),리뷰/UGC,"SPF50+ PA++++ 자외선 차단은 기본, 톤업까지 한번에! 식약처 인증 기능성 | 신제품 출시 | 피부 타입별 맞춤 추천",소재보기 →,facebook,남성 / 18-44세,2026-01-17,집행중,0,"3,779,893원"
55,라네즈 LANEIGE,USP (제품특장점),리뷰/UGC,레티놀 입문자를 위한 꿀팁 5가지! 처음 쓸 때 이것만 기억하세요 | 신제품 출시 | 지금 확인하세요,소재보기 →,"facebook, instagram",여성 / 25-44세,2026-01-23,2026-02-14,22,"4,702,162원"
56,라네즈 LANEIGE,브랜딩,소셜증거 (Social Proof),NEW 컬렉션 런칭 🌸 봄을 담은 새로운 시그니처 라인을 만나보세요 | 베스트셀러 | 지금 확인하세요,소재보기 →,facebook,여성 / 18-65세,2025-11-19,2026-02-14,87,"17,330,516원"
57,라네즈 LANEIGE,리뷰/UGC,브랜딩,전후 비교 보세요! 2주만에 모공이 줄어든 게 보이죠? 실제 사용 후기입니다 | 베스트셀러 | 새로운 발견,소재보기 →,facebook,전체 / 18-44세,2025-11-30,집행중,0,"23,649,000원"
58,라네즈 LANEIGE,참여형 (Engagement),프로모션,친구 태그하면 둘 다 선물! 인생 선크림 나눔 이벤트 ☀️ 스토리 공유 필수 | 베스트셀러 | 무료 샘플 증정,소재보기 →,"facebook, instagram",여성 / 18-44세,2026-02-17,2026-02-20,3,"186,932원"
59,라네즈 LANEIGE,프로모션,참여형 (Engagement),친구 태그하면 둘 다 선물! 인생 선크림 나눔 이벤트 ☀️ 스토리 공유 필수 | 한정 특가 | 공식몰 단독 혜택,소재보기 →,"facebook, instagram, audience_network",여성 / 18-65세,2025-09-24,2026-02-24,153,"21,477,324원"
60,라네즈 LANEIGE,소셜증거 (Social Proof),프로모션,뷰티 인플루언서 100명이 추천한 클렌징 오일. SNS 품절 대란 재입고! | 베스트셀러 | 무료 샘플 증정,소재보기 →,"facebook, instagram, audience_network",여성 / 18-44세,2025-08-04,집행중,0,"10,611,472원"
61,라네즈 LANEIGE,정보형 (Edu),USP (제품특장점),선크림 SPF 숫자의 비밀 ☀️ SPF30 vs 50 차이점 알려드립니다 | 올리브영 바로가기 | 새로운 발견,소재보기 →,"facebook, instagram, messenger",여성 / 18-44세,2026-01-26,집행중,0,"1,339,420원"
62,라네즈 LANEIGE,리뷰/UGC,브랜딩,레알 미쳤음... 파데 하나로 커버력이 이 정도?? 써보고 깜짝 놀란 쿠션 후기 | 신제품 출시 | 새로운 발견,소재보기 →,instagram,여성 / 25-44세,2026-01-03,2026-02-28,56,"13,846,112원"
63,라네즈 LANEIGE,USP (제품특장점),브랜딩,"병풀 CICA 성분 저자극 포뮬러. 예민한 피부도 순하게 진정, 피부 장벽 강화 | 신제품 출시 | 새로운 발견",소재보기 →,"facebook, instagram",남성 / 25-44세,2025-12-15,2026-02-19,66,"9,667,064원"
64,라네즈 LANEIGE,정보형 (Edu),리뷰/UGC,피부타입별 세럼 고르는법 가이드 📖 건성/지성/복합성 맞춤 추천 TOP5 | 베스트셀러 | 피부 타입별 맞춤 추천,소재보기 →,instagram,여성 / 18-34세,2025-12-15,집행중,0,"6,763,577원"
65,라네즈 LANEIGE,리뷰/UGC,-,찐후기) 3개월 써본 솔직 리뷰... 진짜 피부결이 달라졌어요 😱 비포애프터 공개 | 자세히 보기 | 지금 확인하세요,소재보기 →,instagram,여성 / 25-44세,2025-08-12,집행중,0,"5,764,744원"
66,라네즈 LANEIGE,참여형 (Engagement),정보형 (Edu),DM으로 피부 고민 보내주세요 💬 맞춤 루틴 추천해드립니다! 선착순 100명 | 베스트셀러 | 무료 샘플 증정,소재보기 →,"facebook, instagram, audience_network",남성 / 18-44세,2026-02-03,2026-02-10,7,"91,242원"
67,라네즈 LANEIGE,프로모션,소셜증거 (Social Proof),오늘 하루만! 전품목 무료배송 + 사은품 랜덤박스 증정 이벤트 | 올리브영 바로가기 | 지금 확인하세요,소재보기 →,"facebook, instagram, audience_network",전체 / 18-65세,2025-11-02,2026-02-10,100,"16,242,933원"
68,라네즈 LANEIGE,리뷰/UGC,프로모션,인생템 찾았다ㅠㅠ 민감성인 저도 자극 없이 쓸 수 있는 세럼 강추합니다!! | 지금 바로 확인 | 공식몰 단독 혜택,소재보기 →,"facebook, instagram, audience_network",전체 / 18-65세,2026-01-28,집행중,0,"2,103,360원"
69,라네즈 LANEIGE,소셜증거 (Social Proof),리뷰/UGC,올영 선크림 부문 1위 🏆 누적 판매 300만개 돌파한 국민 선크림 | 지금 바로 확인 | 피부 타입별 맞춤 추천,소재보기 →,facebook,여성 / 18-34세,2026-01-22,2026-02-17,26,"2,193,464원"
70,라네즈 LANEIGE,프로모션,USP (제품특장점),레티놀 입문자를 위한 꿀팁 5가지! 처음 쓸 때 이것만 기억하세요 | 베스트셀러 | 공식몰 단독 혜택,소재보기 →,"facebook, instagram, audience_network",여성 / 25-44세,2025-05-16,집행중,0,"44,372,328원"
71,라네즈 LANEIGE,참여형 (Engagement),프로모션,🎯 퀴즈 이벤트! 이 성분의 이름은? 맞추면 본품 증정 👉 댓글로 참여하세요 | 지금 바로 확인 | 새로운 발견,소재보기 →,"facebook, instagram, messenger",전체 / 18-44세,2026-02-20,집행중,0,"1,809,429원"
72,라네즈 LANEIGE,리뷰/UGC,프로모션,찐후기) 3개월 써본 솔직 리뷰... 진짜 피부결이 달라졌어요 😱 비포애프터 공개 | 신제품 출시 | 공식몰 단독 혜택,소재보기 →,"facebook, instagram",여성 / 18-44세,2026-01-05,집행중,0,"8,061,768원"
73,라네즈 LANEIGE,리뷰/UGC,-,레알 미쳤음... 파데 하나로 커버력이 이 정도?? 써보고 깜짝 놀란 쿠션 후기 | 지금 바로 확인 | 지금 확인하세요,소재보기 →,"facebook, instagram, messenger",여성 / 18-65세,2026-01-23,2026-02-08,16,"4,075,818원"
74,라네즈 LANEIGE,소셜증거 (Social Proof),프로모션,후기 10만개가 증명하는 보습력. 건성피부 구원템 입소문 대란 | 지금 바로 확인 | 새로운 발견,소재보기 →,"facebook, instagram, messenger",전체 / 18-34세,2026-01-22,집행중,0,"2,980,021원"
75,라네즈 LANEIGE,정보형 (Edu),프로모션,선크림 SPF 숫자의 비밀 ☀️ SPF30 vs 50 차이점 알려드립니다 | 지금 바로 확인 | 공식몰 단독 혜택,소재보기 →,instagram,전체 / 18-65세,2026-02-22,집행중,0,"2,216,352원"
76,라네즈 LANEIGE,USP (제품특장점),소셜증거 (Social Proof),히알루론산 5중 보습으로 촉촉한 피부 완성 ✨ 건조한 겨울에도 끈적임 없이 수분 가득 | 올리브영 바로가기 | 지금 확인하세요,소재보기 →,instagram,남성 / 25-54세,2025-12-30,집행중,0,"294,485원"
77,라네즈 LANEIGE,프로모션,USP (제품특장점),"아침이 기다려지는 스킨케어. 맑고 촉촉한 하루의 시작, 데일리 모닝 에센스 | 신제품 출시 | 무료 샘플 증정",소재보기 →,"facebook, instagram, audience_network",여성 / 18-44세,2026-02-10,집행중,0,"1,693,608원"
78,라네즈 LANEIGE,USP (제품특장점),-,"콜라겐 부스팅 펩타이드 크림 💎 피부 속부터 탄력감, EWG 그린등급 성분 | 자세히 보기 | 지금 확인하세요",소재보기 →,facebook,여성 / 25-44세,2026-01-07,2026-02-06,30,"2,124,800원"
79,라네즈 LANEIGE,소셜증거 (Social Proof),프로모션,후기 10만개가 증명하는 보습력. 건성피부 구원템 입소문 대란 | 자세히 보기 | 무료 샘플 증정,소재보기 →,"facebook, instagram, messenger",여성 / 18-44세,2026-01-25,2026-02-04,10,"2,243,893원"
80,라네즈 LANEIGE,프로모션,USP (제품특장점),나를 위한 작은 사치. 매일 밤 셀프케어 루틴에 더하는 프리미엄 나이트 세럼 🌙 | 한정 특가 | 지금 확인하세요,소재보기 →,facebook,여성 / 25-54세,2026-02-07,집행중,0,"174,328원"
81,라네즈 LANEIGE,리뷰/UGC,정보형 (Edu),전후 비교 보세요! 2주만에 모공이 줄어든 게 보이죠? 실제 사용 후기입니다 | 지금 바로 확인 | 지금 확인하세요,소재보기 →,"facebook, instagram, audience_network",여성 / 25-54세,2026-02-18,2026-02-25,7,"900,732원"
82,라네즈 LANEIGE,소셜증거 (Social Proof),-,올영 선크림 부문 1위 🏆 누적 판매 300만개 돌파한 국민 선크림 | 올리브영 바로가기 | 지금 확인하세요,소재보기 →,"facebook, instagram, messenger",전체 / 25-54세,2025-12-08,집행중,0,"6,840,749원"
83,라네즈 LANEIGE,USP (제품특장점),리뷰/UGC,히알루론산 5중 보습으로 촉촉한 피부 완성 ✨ 건조한 겨울에도 끈적임 없이 수분 가득 | 자세히 보기 | 피부 타입별 맞춤 추천,소재보기 →,"facebook, instagram, messenger",여성 / 18-44세,2025-05-27,2026-03-02,279,"6,111,588원"
84,라네즈 LANEIGE,프로모션,브랜딩,첫 구매 30% 할인 + 미니어처 3종 증정. 쿠폰코드: BEAUTY2026 | 자세히 보기 | 새로운 발견,소재보기 →,"facebook, instagram, audience_network",여성 / 25-44세,2025-12-11,2026-02-07,58,"2,067,429원"
85,라네즈 LANEIGE,정보형 (Edu),리뷰/UGC,피부타입별 세럼 고르는법 가이드 📖 건성/지성/복합성 맞춤 추천 TOP5 | 신제품 출시 | 피부 타입별 맞춤 추천,소재보기 →,facebook,여성 / 18-65세,2025-12-11,2026-02-11,62,"9,534,525원"
86,라네즈 LANEIGE,USP (제품특장점),프로모션,임상 테스트 완료 더마 세럼. 피부과 전문의가 검증한 보습 72시간 지속력 | 신제품 출시 | 무료 샘플 증정,소재보기 →,facebook,여성 / 18-65세,2026-02-10,2026-02-24,14,"129,826원"
87,라네즈 LANEIGE,USP (제품특장점),소셜증거 (Social Proof),"아침이 기다려지는 스킨케어. 맑고 촉촉한 하루의 시작, 데일리 모닝 에센스 | 베스트셀러 | 지금 확인하세요",소재보기 →,"facebook, instagram, audience_network",남성 / 25-44세,2025-11-05,집행중,0,"1,454,972원"
88,라네즈 LANEIGE,USP (제품특장점),브랜딩,틱톡 1억뷰 돌파! 커버력 + 지속력 모두 잡은 올해의 뷰티템 | 자세히 보기 | 새로운 발견,소재보기 →,"facebook, instagram",남성 / 18-44세,2026-01-12,2026-02-10,29,"3,677,973원"
89,라네즈 LANEIGE,소셜증거 (Social Proof),프로모션,후기 10만개가 증명하는 보습력. 건성피부 구원템 입소문 대란 | 베스트셀러 | 새로운 발견,소재보기 →,facebook,여성 / 18-65세,2025-09-19,집행중,0,"20,243,413원"
90,라네즈 LANEIGE,소셜증거 (Social Proof),프로모션,후기 10만개가 증명하는 보습력. 건성피부 구원템 입소문 대란 | 자세히 보기 | 무료 샘플 증정,소재보기 →,"facebook, instagram, messenger",여성 / 25-44세,2025-11-13,2026-02-08,87,"4,662,852원"
91,라네즈 LANEIGE,소셜증거 (Social Proof),정보형 (Edu),2026 화해 어워드 수상 🎖️ 올리브영 스킨케어 랭킹 TOP3 올킬 | 지금 바로 확인 | 무료 샘플 증정,소재보기 →,facebook,전체 / 25-44세,2025-12-03,2026-02-21,80,"20,639,786원"
92,라네즈 LANEIGE,소셜증거 (Social Proof),정보형 (Edu),2026 화해 어워드 수상 🎖️ 올리브영 스킨케어 랭킹 TOP3 올킬 | 올리브영 바로가기 | 피부 타입별 맞춤 추천,소재보기 →,"facebook, instagram, audience_network",남성 / 25-44세,2026-01-24,집행중,0,"440,586원"
93,라네즈 LANEIGE,USP (제품특장점),-,임상 테스트 완료 더마 세럼. 피부과 전문의가 검증한 보습 72시간 지속력 | 자세히 보기 | 지금 확인하세요,소재보기 →,"facebook, instagram",여성 / 18-44세,2026-01-06,집행중,0,"2,171,880원"
94,라네즈 LANEIGE,프로모션,USP (제품특장점),"🔥 올영세일 최대 50% OFF! 인기 스킨케어 득템 찬스, 이번 주 일요일까지만 | 올리브영 바로가기 | 새로운 발견",소재보기 →,facebook,여성 / 25-54세,2025-12-05,집행중,0,"1,945,088원"
